Station,ALPHA 98.9,ATHENS DJ,BEST 92.6,ΔΙΕΣΗ 101.3,ΔΡΟΜΟΣ FM,EASY 97.2,ΕΛΛΗΝΙΚΟΣ 93.2,EN LEFKO 87.7,GALAXY 92.0,HIT 88.9,KISS FM 92.9,ΛΑΜΨΗ 92.3,LOVE RADIO 97.50,MAD RADIO,ΜΕΛΩΔΙΑ FM 99.2,MENTA 88.0 FM,ΜΟΥΣΙΚΟΣ,MUSIC 89.2,ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,PEPPER 96.6,REAL FM 97.8,RED 96.3,ATHENS ROCK FM,ΡΥΘΜΟΣ 9 49,SFERA 102.2,SKAI 100.3,ΣΠΟΡ FM 94.6,SPORT 24 RADIO 103.3,ΣΤΟ ΚΟΚΚΙΝΟ
KISS FM 92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,4.768363888265883e-15,0.0,0.0,0.0,0.0,0.0,0.0,-5.28065893753137e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΛΑΜΨΗ 92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.813228333274086e-16,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335134733316679e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOVE RADIO 97.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014060316214384787,0.0,0.0,0.0,0.5561323500513967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298073337342217,0.0,0.0,0.0,0.0,0.0
MAD RADIO,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.245728049688179e-16,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1692547049531717e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΜΕΛΩΔΙΑ FM 99.2,0.0,0.0,0.0,7.842608160752161e-16,0.0,-9.42189016094285e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-9.58682863649594e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MENTA 88.0 FM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7049736992492765e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.0,1.4558170150983368e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΜΟΥΣΙΚΟΣ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07993308168722355,0.0,0.0,0.025770475065386482,0.0,0.0,0.0,0.4892558537571293,0.0,0.0,0.0,0.4050405894902572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSIC 89.2,0.0,0.0,0.0,0.0,-2.110634585351983e-15,0.0,0.0,0.0,-1.2643196115277434e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.2003366169937758e-14,0.0,1.0000000000000269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΠΑΡΑΠΟΛΙΤΙΚΑ 90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999991,3.228286473448003e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7999272973149506e-16
PEPPER 96.6,0.0,0.0,0.0,0.0,0.0,4.85368140552411e-16,0.0,1.028575269309224e-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REAL FM 97.8,0.0,0.0,0.0,0.0,0.0,1.9860469486084728e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.691052433498806e-16,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED 96.3,0.0,3.4938088520249005e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATHENS ROCK FM,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2001497585298568e-16,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
ΡΥΘΜΟΣ 9 49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.738436732402054e-16,0.0,0.0,-2.9547725789457004e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000042,0.0,0.0,0.0,0.0,0.0
SFERA 102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.697463640103694e-16,0.0,0.0,3.22949498697963e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,8.444161135315203e-17,0.0,0.0,0.0
SKAI 100.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63979162322586e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ΣΠΟΡ FM 94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13190824555120972,0.0,0.0,0.20537713628604762,0.0,0.0,0.22357167072722914,0.0,0.0,0.0,0.0,0.0,0.2611946567152474,0.0,0.0,0.0,0.0,0.1779482907202652,0.0,0.0,0.0
SPORT 24 RADIO 103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22361292420299964,0.0,0.7763870757969996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ΣΤΟ ΚΟΚΚΙΝΟ,0.0,0.0,0.0,0.0,0.0,6.519357364200187e-16,0.0,0.0,-2.5394175643360833e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
